id,catalogNumber,occurrenceID,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,vernacularName,decimalLatitude,decimalLongitude,country,continent,waterBody,locality,stateProvince,county,island,islandGroup,minimumDepthInMeters,maximumDepthInMeters,minimumElevationInMeters,maximumElevationInMeters,eventDate,year,month,day,individualCount,sex,lifeStage,occurrenceStatus,habitat,samplingProtocol,basisOfRecord,coordinateUncertaintyInMeters
urn:catalog:S9-5:Asia-Pacific:Ad04.0026,Ad04.0026,urn:catalog:S9-5:Asia-Pacific:Ad04.0026,Myripristis kuntee,Animalia,Chordata,Actinopteri,Beryciformes,Holocentridae,Myripristis,kuntee,,2.886139,105.808361,Indonesia,,South China Sea,Pulau Jemaja: Teluk Tiru at the northern edge of the bay near southern tip of Tanjung Linang,Riau Islands,Anambas Archipelago,,,,,,,2002-03-12T15:50:00+07:00,2002,3.0,12.0,,,,Present,,visual sensus by dive team,HumanObservation,
urn:catalog:S9-5:Asia-Pacific:Ad04.0027,Ad04.0027,urn:catalog:S9-5:Asia-Pacific:Ad04.0027,Myripristis kuntee,Animalia,Chordata,Actinopteri,Beryciformes,Holocentridae,Myripristis,kuntee,,3.243028,106.242389,Indonesia,,South China Sea,Pulau Matak: southwest coast,Riau Islands,Anambas Archipelago,,,,,,,2002-03-14,2002,3.0,14.0,,,,Present,,visual sensus by dive team,HumanObservation,
urn:catalog:S9-5:Asia-Pacific:Ad04.0028,Ad04.0028,urn:catalog:S9-5:Asia-Pacific:Ad04.0028,Myripristis kuntee,Animalia,Chordata,Actinopteri,Beryciformes,Holocentridae,Myripristis,kuntee,,4.648556,107.962028,Indonesia,,South China Sea,Pulau Laut: south coast,Riau Islands,Natuna Archipelago,,,,,,,2002-03-16T10:15:00+07:00,2002,3.0,16.0,,,,Present,,visual sensus by dive team,HumanObservation,
urn:catalog:S9-5:Asia-Pacific:Ad04.0029,Ad04.0029,urn:catalog:S9-5:Asia-Pacific:Ad04.0029,Myripristis kuntee,Animalia,Chordata,Actinopteri,Beryciformes,Holocentridae,Myripristis,kuntee,,4.627722,107.971694,Indonesia,,South China Sea,Pulau Laut: rocky islet off southeast coast,Riau Islands,Natuna Archipelago,,,,,,,2002-03-16,2002,3.0,16.0,,,,Present,,visual sensus by dive team,HumanObservation,
urn:catalog:S9-5:Asia-Pacific:Ad04.0031,Ad04.0031,urn:catalog:S9-5:Asia-Pacific:Ad04.0031,Myripristis murdjan,Animalia,Chordata,Actinopteri,Beryciformes,Holocentridae,Myripristis,murdjan,,4.275,108.2075,Indonesia,,South China Sea,Pulau Panjang: northeast coast,Riau Islands,Natuna Archipelago,,,,,,,2002-03-17T19:15:00+07:00,2002,3.0,17.0,1.0,,,Present,,,PreservedSpecimen,
urn:catalog:S9-5:Asia-Pacific:Ad04.0033,Ad04.0033,urn:catalog:S9-5:Asia-Pacific:Ad04.0033,Sargocentron caudimaculatum,Animalia,Chordata,Actinopteri,Beryciformes,Holocentridae,Sargocentron,caudimaculatum,,4.627722,107.971694,Indonesia,,South China Sea,Pulau Laut: rocky islet off southeast coast,Riau Islands,Natuna Archipelago,,,,,,,2002-03-16,2002,3.0,16.0,,,,Present,,visual sensus by dive team,HumanObservation,
urn:catalog:S9-5:Asia-Pacific:Ad04.0035,Ad04.0035,urn:catalog:S9-5:Asia-Pacific:Ad04.0035,Sargocentron praslin,Animalia,Chordata,Actinopteri,Beryciformes,Holocentridae,Sargocentron,praslin,,4.275,108.2075,Indonesia,,South China Sea,Pulau Panjang: northeast coast,Riau Islands,Natuna Archipelago,,,,,,,2002-03-17T19:15:00+07:00,2002,3.0,17.0,2.0,,,Present,,,PreservedSpecimen,
urn:catalog:S9-5:Asia-Pacific:Ad04.0036,Ad04.0036,urn:catalog:S9-5:Asia-Pacific:Ad04.0036,Sargocentron punctatissimum,Animalia,Chordata,Actinopteri,Beryciformes,Holocentridae,Sargocentron,punctatissimum,,4.275,108.2075,Indonesia,,South China Sea,Pulau Panjang: northeast coast,Riau Islands,Natuna Archipelago,,,,,,,2002-03-17T19:15:00+07:00,2002,3.0,17.0,1.0,,,Present,,,PreservedSpecimen,
urn:catalog:S9-5:Asia-Pacific:Ad04.0038,Ad04.0038,urn:catalog:S9-5:Asia-Pacific:Ad04.0038,Sargocentron spiniferum,Animalia,Chordata,Actinopteri,Beryciformes,Holocentridae,Sargocentron,spiniferum,,4.648556,107.962028,Indonesia,,South China Sea,Pulau Laut: south coast,Riau Islands,Natuna Archipelago,,,,,,,2002-03-16T10:15:00+07:00,2002,3.0,16.0,,,,Present,,visual sensus by dive team,HumanObservation,
urn:catalog:S9-5:Asia-Pacific:Ad04.0068,Ad04.0068,urn:catalog:S9-5:Asia-Pacific:Ad04.0068,Aethaloperca rogaa,Animalia,Chordata,Actinopteri,Perciformes,Serranidae,Aethaloperca,rogaa,,4.2325,108.184806,Indonesia,,South China Sea,Pulau Panjang: off northwest coast of Pulau Natuna Besar(formerly Pulau Bunguran),Riau Islands,Natuna Archipelago,,,,,,,2002-03-17T10:26:00+07:00,2002,3.0,17.0,1.0,,,Present,,,PreservedSpecimen,
